FID,FID_dhaka_,Ward_ID,PopDensity,Pop,Area,FID_dhaka1,OBJECTID,site_id,site_name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,pop_count
42,29,24,85261.005916099995375,68931,0.808470405191000,3,4,4,shahid_baki rd,23.750920000000001,90.424149999999997,250.000000000000000,3,0.014799748020800,0.042122213937700,3591
43,29,24,85261.005916099995375,68931,0.808470405191000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,250.000000000000000,4,0.014799849090000,0.024117583744700,2056
44,31,26,43960.932245600000897,86931,1.977460339430000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,250.000000000000000,4,0.014799849090000,0.073970465390600,3252
45,34,34,76723.585749200006831,59999,0.782015066346000,1,2,2,khilgaon,23.749630000000000,90.419439999999994,250.000000000000000,1,0.014799671728300,0.006458561542780,496
46,35,35,102483.155641999997897,51067,0.498296521806000,0,1,1,moghbazar,23.747299999999999,90.411569999999998,250.000000000000000,0,0.014799533753000,0.010770099737300,1104
47,35,35,102483.155641999997897,51067,0.498296521806000,1,2,2,khilgaon,23.749630000000000,90.419439999999994,250.000000000000000,1,0.014799671728300,0.043687383411000,4477
48,35,35,102483.155641999997897,51067,0.498296521806000,49,50,50,mouchak_market,23.746810000000000,90.411450000000002,250.000000000000000,49,0.014799504961700,0.004030912501790,413
49,36,37,33421.159174000000348,103274,3.090078338170000,12,13,13,aust,23.765640000000001,90.407079999999993,250.000000000000000,12,0.014800618609600,0.196674702294000,6573
50,36,37,33421.159174000000348,103274,3.090078338170000,13,14,14,hatirjheel_bridge2,23.767949999999999,90.413020000000003,250.000000000000000,13,0.014800755248500,0.171439641958000,5730
51,36,37,33421.159174000000348,103274,3.090078338170000,14,15,15,fazle_rabbi_park,23.774170000000002,90.414980000000000,250.000000000000000,14,0.014801123459800,0.006280877839470,210
52,38,39,58242.564720700000180,67876,1.165401975780000,35,36,36,farmgate,23.757030000000000,90.390280000000004,250.000000000000000,35,0.014800109141100,0.125046622588000,7283
53,39,40,20751.195172899999307,71589,3.449873580950000,18,19,19,chandrima_park,23.765400000000000,90.378159999999994,250.000000000000000,18,0.014800604276000,0.196664793770000,4081
54,39,40,20751.195172899999307,71589,3.449873580950000,27,28,28,square_hospital,23.752389999999998,90.381119999999996,250.000000000000000,27,0.014799834946400,0.038775661290700,805
55,39,40,20751.195172899999307,71589,3.449873580950000,28,29,29,shangsad_bhaban,23.758400000000002,90.380060000000000,250.000000000000000,28,0.014800190416600,0.155738064502000,3232
56,39,40,20751.195172899999307,71589,3.449873580950000,35,36,36,farmgate,23.757030000000000,90.390280000000004,250.000000000000000,35,0.014800109141100,0.071622388092000,1486
57,41,42,90046.213838800002122,54739,0.607898962837000,40,41,41,mohammadpur,23.764489999999999,90.357939999999999,250.000000000000000,40,0.014800550868600,0.058420929023200,5261
58,42,43,110179.980599000002258,186639,1.693946568020000,40,41,41,mohammadpur,23.764489999999999,90.357939999999999,250.000000000000000,40,0.014800550868600,0.010878204775800,1199
59,45,48,94861.147371800005203,128921,1.359049553710000,25,26,26,shimanto_square,23.738430000000001,90.375749999999996,250.000000000000000,25,0.014799009638200,0.037164513132700,3525
60,46,49,32086.970946400000685,72449,2.257894648920000,19,20,20,dhanmondi_lake_park,23.747180000000000,90.378760000000000,250.000000000000000,19,0.014799527027300,0.173044466710000,5552
61,46,49,32086.970946400000685,72449,2.257894648920000,25,26,26,shimanto_square,23.738430000000001,90.375749999999996,250.000000000000000,25,0.014799009638200,0.093213464654400,2991
62,47,46,21036.586271399999532,114756,5.455067591270000,40,41,41,mohammadpur,23.764489999999999,90.357939999999999,250.000000000000000,40,0.014800550868600,0.127358801906000,2679
63,50,51,24434.355387899999187,20186,0.826131881914000,19,20,20,dhanmondi_lake_park,23.747180000000000,90.378760000000000,250.000000000000000,19,0.014799527027300,0.023620701131400,577
64,50,51,24434.355387899999187,20186,0.826131881914000,27,28,28,square_hospital,23.752389999999998,90.381119999999996,250.000000000000000,27,0.014799834946400,0.157890263897000,3858
65,50,51,24434.355387899999187,20186,0.826131881914000,28,29,29,shangsad_bhaban,23.758400000000002,90.380060000000000,250.000000000000000,28,0.014800190416600,0.040927446921100,1000
66,51,52,29181.469655699998839,49523,1.697070112790000,25,26,26,shimanto_square,23.738430000000001,90.375749999999996,250.000000000000000,25,0.014799009638200,0.066286232665200,1934
67,51,52,29181.469655699998839,49523,1.697070112790000,30,31,31,elephant_road,23.739550000000001,90.389120000000005,250.000000000000000,30,0.014799076061100,0.189364390417000,5526
68,51,52,29181.469655699998839,49523,1.697070112790000,34,35,35,new_market,23.732530000000001,90.383830000000003,250.000000000000000,34,0.014798661227700,0.113503899342000,3312
69,52,56,18184.052308199999970,38201,2.100796860490000,15,16,16,ramna_park,23.734610000000000,90.402889999999999,250.000000000000000,15,0.014798784108400,0.167893796135000,3053
70,52,56,18184.052308199999970,38201,2.100796860490000,46,47,47,tsc_du,23.732540000000000,90.395139999999998,250.000000000000000,46,0.014798661654800,0.005606556459610,102
71,53,53,30487.473478100000648,55920,1.834195937560000,0,1,1,moghbazar,23.747299999999999,90.411569999999998,250.000000000000000,0,0.014799533753000,0.008089375012830,247
72,53,53,30487.473478100000648,55920,1.834195937560000,15,16,16,ramna_park,23.734610000000000,90.402889999999999,250.000000000000000,15,0.014798784108400,0.027928360993600,851
73,53,53,30487.473478100000648,55920,1.834195937560000,16,17,17,eskaton_garden_rd,23.744450000000001,90.397170000000003,250.000000000000000,16,0.014799365363800,0.167075652394000,5094
74,53,53,30487.473478100000648,55920,1.834195937560000,49,50,50,mouchak_market,23.746810000000000,90.411450000000002,250.000000000000000,49,0.014799504961700,0.023780806894800,725
75,54,54,69298.017877999998746,74069,1.068847310040000,0,1,1,moghbazar,23.747299999999999,90.411569999999998,250.000000000000000,0,0.014799533753000,0.008952276941860,620
76,54,54,69298.017877999998746,74069,1.068847310040000,16,17,17,eskaton_garden_rd,23.744450000000001,90.397170000000003,250.000000000000000,16,0.014799365363800,0.005254672825870,364
77,56,57,18255.572890899999038,33513,1.835768189820000,15,16,16,ramna_park,23.734610000000000,90.402889999999999,250.000000000000000,15,0.014798784108400,0.000851384816519,16
78,56,57,18255.572890899999038,33513,1.835768189820000,16,17,17,eskaton_garden_rd,23.744450000000001,90.397170000000003,250.000000000000000,16,0.014799365363800,0.024341159667200,444
79,56,57,18255.572890899999038,33513,1.835768189820000,30,31,31,elephant_road,23.739550000000001,90.389120000000005,250.000000000000000,30,0.014799076061100,0.007304385795110,133
80,56,57,18255.572890899999038,33513,1.835768189820000,39,40,40,buet,23.726310000000002,90.392529999999994,250.000000000000000,39,0.014798293925300,0.137463684992000,2509
81,56,57,18255.572890899999038,33513,1.835768189820000,46,47,47,tsc_du,23.732540000000000,90.395139999999998,250.000000000000000,46,0.014798661654800,0.191064338457000,3488
82,58,59,83325.712131099993712,48875,0.586553642927000,20,21,21,azimpur_colony,23.727290000000000,90.384169999999997,250.000000000000000,20,0.014798351919600,0.026812762454600,2234
83,58,59,83325.712131099993712,48875,0.586553642927000,34,35,35,new_market,23.732530000000001,90.383830000000003,250.000000000000000,34,0.014798661227700,0.015804436413200,1317
84,59,60,157213.536602999985917,66470,0.422800742457000,24,25,25,lalbag,23.720009999999998,90.387050000000002,250.000000000000000,24,0.014797922112600,0.010393849865500,1634
85,60,63,60485.845917600003304,28525,0.471597934480000,39,40,40,buet,23.726310000000002,90.392529999999994,250.000000000000000,39,0.014798293925300,0.052207290256400,3158
86,61,61,94881.481950799992774,29832,0.314413301591000,24,25,25,lalbag,23.720009999999998,90.387050000000002,250.000000000000000,24,0.014797922112600,0.103805019425000,9849
87,62,62,49477.467457699996885,44540,0.900207756957000,20,21,21,azimpur_colony,23.727290000000000,90.384169999999997,250.000000000000000,20,0.014798351919600,0.169854428686000,8404
88,62,62,49477.467457699996885,44540,0.900207756957000,24,25,25,lalbag,23.720009999999998,90.387050000000002,250.000000000000000,24,0.014797922112600,0.082469371078000,4080
89,62,62,49477.467457699996885,44540,0.900207756957000,34,35,35,new_market,23.732530000000001,90.383830000000003,250.000000000000000,34,0.014798661227700,0.067358689293300,3333
90,62,62,49477.467457699996885,44540,0.900207756957000,39,40,40,buet,23.726310000000002,90.392529999999994,250.000000000000000,39,0.014798293925300,0.006999083990110,346
91,68,69,146585.830511000007391,65289,0.445397756197000,26,27,27,agashadek_Rroad,23.719780000000000,90.403540000000007,250.000000000000000,26,0.014797908716600,0.192615014817000,28235
92,69,70,149037.117178999993484,50624,0.339673773610000,26,27,27,agashadek_Rroad,23.719780000000000,90.403540000000007,250.000000000000000,26,0.014797908716600,0.004058890286900,605
93,70,77,96322.619328000000678,40587,0.421365202516000,17,18,18,gulistan,23.719339999999999,90.416659999999993,250.000000000000000,17,0.014797882736800,0.096892245827600,9333
94,72,75,70545.945326100001694,38322,0.543220447651000,17,18,18,gulistan,23.719339999999999,90.416659999999993,250.000000000000000,17,0.014797882736800,0.020832649095700,1470
95,75,74,113500.146286999995937,46140,0.406519299837000,17,18,18,gulistan,23.719339999999999,90.416659999999993,250.000000000000000,17,0.014797882736800,0.078953534576500,8961
96,90,91,5792.441375649999827,94573,16.326967139899999,22,23,23,kafrul,23.790320000000001,90.386579999999995,250.000000000000000,22,0.014802079889400,0.006597706733000,38
97,90,91,5792.441375649999827,94573,16.326967139899999,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,250.000000000000000,38,0.014802182965500,0.092285067622800,535
98,90,91,5792.441375649999827,94573,16.326967139899999,41,42,42,uttara_sector_1,23.856290000000001,90.401390000000006,250.000000000000000,41,0.014805996442000,0.103906121811000,602
99,90,91,5792.441375649999827,94573,16.326967139899999,45,46,46,airport,23.853190000000001,90.405980000000000,250.000000000000000,45,0.014805812157900,0.107829200800000,625
100,16,16,30944.155345399998623,142413,4.602258436540000,22,23,23,kafrul,23.790320000000001,90.386579999999995,250.000000000000000,22,0.014802079889400,0.049297309160400,1525
101,16,16,30944.155345399998623,142413,4.602258436540000,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,250.000000000000000,38,0.014802182965500,0.049297309160400,1525
102,26,22,101765.179380000001402,160316,1.575352207670000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,250.000000000000000,5,0.014800158332500,0.005889517560190,599
103,26,22,101765.179380000001402,160316,1.575352207670000,8,9,9,rampura_supermarket,23.760050000000000,90.418440000000004,250.000000000000000,8,0.014800287989800,0.005889517560190,599
104,26,22,101765.179380000001402,160316,1.575352207670000,6,7,7,hazipara_balur_math,23.756769999999999,90.418629999999993,250.000000000000000,6,0.014800093714300,0.015603888611000,1588
105,26,22,101765.179380000001402,160316,1.575352207670000,7,8,8,dit_road,23.758279999999999,90.417959999999994,250.000000000000000,7,0.014800182934800,0.015603888611000,1588
106,26,22,101765.179380000001402,160316,1.575352207670000,7,8,8,dit_road,23.758279999999999,90.417959999999994,250.000000000000000,7,0.014800182934800,0.061366408564600,6245
107,26,22,101765.179380000001402,160316,1.575352207670000,8,9,9,rampura_supermarket,23.760050000000000,90.418440000000004,250.000000000000000,8,0.014800287989800,0.061366408564600,6245
108,26,22,101765.179380000001402,160316,1.575352207670000,9,10,10,bd_tv_bhaban,23.765270000000001,90.422439999999995,250.000000000000000,9,0.014800596672400,0.013618122949200,1386
109,26,22,101765.179380000001402,160316,1.575352207670000,10,11,11,banasree_road2,23.765070000000001,90.426479999999998,250.000000000000000,10,0.014800584882100,0.013618122949200,1386
110,27,23,82410.070107599996845,63763,0.773728258170000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,250.000000000000000,2,0.014799673944700,0.002691860463650,222
111,27,23,82410.070107599996845,63763,0.773728258170000,3,4,4,shahid_baki rd,23.750920000000001,90.424149999999997,250.000000000000000,3,0.014799748020800,0.002691860463650,222
112,27,23,82410.070107599996845,63763,0.773728258170000,3,4,4,shahid_baki rd,23.750920000000001,90.424149999999997,250.000000000000000,3,0.014799748020800,0.025635283320300,2113
113,27,23,82410.070107599996845,63763,0.773728258170000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,250.000000000000000,4,0.014799849090000,0.025635283320300,2113
114,27,23,82410.070107599996845,63763,0.773728258170000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,250.000000000000000,5,0.014800158332500,0.021625712686700,1782
115,27,23,82410.070107599996845,63763,0.773728258170000,6,7,7,hazipara_balur_math,23.756769999999999,90.418629999999993,250.000000000000000,6,0.014800093714300,0.021625712686700,1782
116,27,23,82410.070107599996845,63763,0.773728258170000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,250.000000000000000,5,0.014800158332500,0.000356323618710,29
117,27,23,82410.070107599996845,63763,0.773728258170000,7,8,8,dit_road,23.758279999999999,90.417959999999994,250.000000000000000,7,0.014800182934800,0.000356323618710,29
118,27,23,82410.070107599996845,63763,0.773728258170000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,250.000000000000000,5,0.014800158332500,0.000178755182241,15
119,27,23,82410.070107599996845,63763,0.773728258170000,8,9,9,rampura_supermarket,23.760050000000000,90.418440000000004,250.000000000000000,8,0.014800287989800,0.000178755182241,15
120,27,23,82410.070107599996845,63763,0.773728258170000,6,7,7,hazipara_balur_math,23.756769999999999,90.418629999999993,250.000000000000000,6,0.014800093714300,0.047075953512000,3880
121,27,23,82410.070107599996845,63763,0.773728258170000,7,8,8,dit_road,23.758279999999999,90.417959999999994,250.000000000000000,7,0.014800182934800,0.047075953512000,3880
122,27,23,82410.070107599996845,63763,0.773728258170000,7,8,8,dit_road,23.758279999999999,90.417959999999994,250.000000000000000,7,0.014800182934800,0.000197036524488,16
123,27,23,82410.070107599996845,63763,0.773728258170000,8,9,9,rampura_supermarket,23.760050000000000,90.418440000000004,250.000000000000000,8,0.014800287989800,0.000197036524488,16
124,29,24,85261.005916099995375,68931,0.808470405191000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,250.000000000000000,2,0.014799673944700,0.065169050229300,5556
125,29,24,85261.005916099995375,68931,0.808470405191000,3,4,4,shahid_baki rd,23.750920000000001,90.424149999999997,250.000000000000000,3,0.014799748020800,0.065169050229300,5556
126,29,24,85261.005916099995375,68931,0.808470405191000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,250.000000000000000,2,0.014799673944700,0.010778062856400,919
127,29,24,85261.005916099995375,68931,0.808470405191000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,250.000000000000000,4,0.014799849090000,0.010778062856400,919
128,29,24,85261.005916099995375,68931,0.808470405191000,3,4,4,shahid_baki rd,23.750920000000001,90.424149999999997,250.000000000000000,3,0.014799748020800,0.003127832201650,267
129,29,24,85261.005916099995375,68931,0.808470405191000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,250.000000000000000,4,0.014799849090000,0.003127832201650,267
130,31,26,43960.932245600000897,86931,1.977460339430000,3,4,4,shahid_baki rd,23.750920000000001,90.424149999999997,250.000000000000000,3,0.014799748020800,0.000164286000794,7
131,31,26,43960.932245600000897,86931,1.977460339430000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,250.000000000000000,4,0.014799849090000,0.000164286000794,7
132,35,35,102483.155641999997897,51067,0.498296521806000,0,1,1,moghbazar,23.747299999999999,90.411569999999998,250.000000000000000,0,0.014799533753000,0.040897543506700,4191
133,35,35,102483.155641999997897,51067,0.498296521806000,49,50,50,mouchak_market,23.746810000000000,90.411450000000002,250.000000000000000,49,0.014799504961700,0.040897543506700,4191
134,53,53,30487.473478100000648,55920,1.834195937560000,0,1,1,moghbazar,23.747299999999999,90.411569999999998,250.000000000000000,0,0.014799533753000,0.116798850263000,3561
135,53,53,30487.473478100000648,55920,1.834195937560000,49,50,50,mouchak_market,23.746810000000000,90.411450000000002,250.000000000000000,49,0.014799504961700,0.116798850263000,3561
136,54,54,69298.017877999998746,74069,1.068847310040000,0,1,1,moghbazar,23.747299999999999,90.411569999999998,250.000000000000000,0,0.014799533753000,0.011168264720300,774
137,54,54,69298.017877999998746,74069,1.068847310040000,49,50,50,mouchak_market,23.746810000000000,90.411450000000002,250.000000000000000,49,0.014799504961700,0.011168264720300,774
138,90,91,5792.441375649999827,94573,16.326967139899999,22,23,23,kafrul,23.790320000000001,90.386579999999995,250.000000000000000,22,0.014802079889400,0.027080562652600,157
139,90,91,5792.441375649999827,94573,16.326967139899999,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,250.000000000000000,38,0.014802182965500,0.027080562652600,157
140,26,22,101765.179380000001402,160316,1.575352207670000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,250.000000000000000,5,0.014800158332500,0.001322295197720,135
141,26,22,101765.179380000001402,160316,1.575352207670000,7,8,8,dit_road,23.758279999999999,90.417959999999994,250.000000000000000,7,0.014800182934800,0.001322295197720,135
142,26,22,101765.179380000001402,160316,1.575352207670000,8,9,9,rampura_supermarket,23.760050000000000,90.418440000000004,250.000000000000000,8,0.014800287989800,0.001322295197720,135
143,26,22,101765.179380000001402,160316,1.575352207670000,6,7,7,hazipara_balur_math,23.756769999999999,90.418629999999993,250.000000000000000,6,0.014800093714300,0.013779751616200,1402
144,26,22,101765.179380000001402,160316,1.575352207670000,7,8,8,dit_road,23.758279999999999,90.417959999999994,250.000000000000000,7,0.014800182934800,0.013779751616200,1402
145,26,22,101765.179380000001402,160316,1.575352207670000,8,9,9,rampura_supermarket,23.760050000000000,90.418440000000004,250.000000000000000,8,0.014800287989800,0.013779751616200,1402
146,27,23,82410.070107599996845,63763,0.773728258170000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,250.000000000000000,2,0.014799673944700,0.013567189705900,1118
147,27,23,82410.070107599996845,63763,0.773728258170000,3,4,4,shahid_baki rd,23.750920000000001,90.424149999999997,250.000000000000000,3,0.014799748020800,0.013567189705900,1118
148,27,23,82410.070107599996845,63763,0.773728258170000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,250.000000000000000,4,0.014799849090000,0.013567189705900,1118
149,27,23,82410.070107599996845,63763,0.773728258170000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,250.000000000000000,5,0.014800158332500,0.013380153962300,1103
150,27,23,82410.070107599996845,63763,0.773728258170000,6,7,7,hazipara_balur_math,23.756769999999999,90.418629999999993,250.000000000000000,6,0.014800093714300,0.013380153962300,1103
151,27,23,82410.070107599996845,63763,0.773728258170000,7,8,8,dit_road,23.758279999999999,90.417959999999994,250.000000000000000,7,0.014800182934800,0.013380153962300,1103
152,27,23,82410.070107599996845,63763,0.773728258170000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,250.000000000000000,5,0.014800158332500,0.003270452959110,270
153,27,23,82410.070107599996845,63763,0.773728258170000,7,8,8,dit_road,23.758279999999999,90.417959999999994,250.000000000000000,7,0.014800182934800,0.003270452959110,270
154,27,23,82410.070107599996845,63763,0.773728258170000,8,9,9,rampura_supermarket,23.760050000000000,90.418440000000004,250.000000000000000,8,0.014800287989800,0.003270452959110,270
155,27,23,82410.070107599996845,63763,0.773728258170000,6,7,7,hazipara_balur_math,23.756769999999999,90.418629999999993,250.000000000000000,6,0.014800093714300,0.013535039999400,1115
156,27,23,82410.070107599996845,63763,0.773728258170000,7,8,8,dit_road,23.758279999999999,90.417959999999994,250.000000000000000,7,0.014800182934800,0.013535039999400,1115
157,27,23,82410.070107599996845,63763,0.773728258170000,8,9,9,rampura_supermarket,23.760050000000000,90.418440000000004,250.000000000000000,8,0.014800287989800,0.013535039999400,1115
158,29,24,85261.005916099995375,68931,0.808470405191000,2,3,3,khilgaon_college,23.749669999999998,90.425569999999993,250.000000000000000,2,0.014799673944700,0.017657944332700,1506
159,29,24,85261.005916099995375,68931,0.808470405191000,3,4,4,shahid_baki rd,23.750920000000001,90.424149999999997,250.000000000000000,3,0.014799748020800,0.017657944332700,1506
160,29,24,85261.005916099995375,68931,0.808470405191000,4,5,5,riazbag_cemetery,23.752630000000000,90.426299999999998,250.000000000000000,4,0.014799849090000,0.017657944332700,1506
161,27,23,82410.070107599996845,63763,0.773728258170000,5,6,6,rampura_bou_bazar,23.757860000000001,90.421769999999995,250.000000000000000,5,0.014800158332500,0.004814789128800,397
